Year,Dark_red,red,orange,yellow
1985,[0.07168876],[0.11924053],[0.61375568],[5.49849716]
1986,[0.0609171],[0.12029599],[1.4390744],[8.27920527]
1987,[0.87441701],[0.77447771],[2.64179584],[10.94786033]
1988,[0.06577759],[0.23747951],[1.6310425],[8.3092248]
1989,[0.08447041],[0.31206427],[1.35136411],[6.7956499]
1990,[0.09526952],[0.25278458],[1.89128084],[9.45977176]
1991,[0.09507697],[0.34997523],[2.13748495],[10.06914287]
1992,[1.01848849],[0.79199883],[2.19463797],[10.97622378]
1993,[0.15028506],[0.46287952],[2.08502161],[9.99137578]
1994,[0.16012722],[0.29129693],[1.63120569],[9.74428745]
1995,[0.06237374],[0.16241305],[1.22644392],[8.36951591]
1996,[0.01390977],[0.09174777],[1.11083868],[6.72898043]
1997,[1.08089816],[0.77351593],[1.90298344],[9.30053006]
1998,[1.26455201],[0.60635271],[1.42650981],[6.87904089]
1999,[0.10090569],[0.14976399],[0.68326437],[3.77488612]
2000,[0.16746712],[0.29961549],[1.09059177],[5.31984658]
2001,[0.15861184],[0.24112932],[1.30474432],[7.72192988]
2002,[0.53560266],[0.60176695],[1.7700255],[8.66223728]
2003,[0.16435096],[0.37125316],[1.64379346],[10.84928637]
2004,[0.69920139],[0.64888767],[1.83475986],[10.82255585]
2005,[0.2415161],[0.3906842],[1.62289689],[9.69129503]
2006,[0.25068682],[0.42121427],[1.64356418],[9.90254812]
2007,[0.16983149],[0.21965982],[1.18375826],[8.1873463]
2008,[0.41123907],[0.40976107],[1.32211077],[6.18555264]
2009,[0.55755949],[0.62440681],[2.12911276],[10.59383013]
2010,[0.96442745],[0.68512748],[1.59261339],[7.55933421]
2011,[0.77479607],[0.4283462],[1.16319016],[4.93388841]
2012,[0.28953926],[0.38155279],[1.35189751],[8.68826925]
2013,[0.46015904],[0.70796911],[1.92608732],[9.41461029]
2014,[1.00008256],[1.0116232],[2.47850233],[10.16754395]
2015,[2.50836708],[1.53891487],[3.17607105],[10.30089428]
2016,[1.86471746],[1.42929722],[2.87450424],[10.99701234]
2017,[1.16789618],[1.1077904],[2.60530684],[11.58490042]
2018,[0.58820173],[0.56969454],[1.74941822],[9.92013767]
2019,[1.32900058],[1.11555604],[2.92244974],[11.98691676]
2020,[1.29058931],[0.96290477],[2.24031274],[10.99318036]
2021,[1.03891244],[0.63872159],[1.60978268],[7.37209523]
2022,[1.1095947],[0.95533144],[2.28336869],[6.95555871]
